tick,mode,confidence,energy_norm,rollback_count,learning_delta,struct_hash,energy_hash,topo_hash,memory_hash
0,Full,100,42949672960000,0,0,ed66313a34775e29df0787041bd199f0b26baeac6d22c31f0bcbaaed392c6d3f,a400d436efc9c66c311369de09cd9b2f3a6fef22744d9605a4e7abdabc27d5e6,9068a4d078c8a6cfab32111abf58a8179152788989f2fc0585653b1e4553470c,2414f8d702215fd09bf7d2ea70f9bc2df3d1d9e815ed562080f9b972c49cc197
1,Full,100,42949672960000,0,0,ed66313a34775e29df0787041bd199f0b26baeac6d22c31f0bcbaaed392c6d3f,a400d436efc9c66c311369de09cd9b2f3a6fef22744d9605a4e7abdabc27d5e6,9068a4d078c8a6cfab32111abf58a8179152788989f2fc0585653b1e4553470c,2414f8d702215fd09bf7d2ea70f9bc2df3d1d9e815ed562080f9b972c49cc197
2,Full,100,42949672960000,0,0,ed66313a34775e29df0787041bd199f0b26baeac6d22c31f0bcbaaed392c6d3f,a400d436efc9c66c311369de09cd9b2f3a6fef22744d9605a4e7abdabc27d5e6,9068a4d078c8a6cfab32111abf58a8179152788989f2fc0585653b1e4553470c,2414f8d702215fd09bf7d2ea70f9bc2df3d1d9e815ed562080f9b972c49cc197
3,Full,100,42949672960000,0,0,ed66313a34775e29df0787041bd199f0b26baeac6d22c31f0bcbaaed392c6d3f,a400d436efc9c66c311369de09cd9b2f3a6fef22744d9605a4e7abdabc27d5e6,9068a4d078c8a6cfab32111abf58a8179152788989f2fc0585653b1e4553470c,2414f8d702215fd09bf7d2ea70f9bc2df3d1d9e815ed562080f9b972c49cc197
4,Full,100,42949672960000,0,0,ed66313a34775e29df0787041bd199f0b26baeac6d22c31f0bcbaaed392c6d3f,a400d436efc9c66c311369de09cd9b2f3a6fef22744d9605a4e7abdabc27d5e6,9068a4d078c8a6cfab32111abf58a8179152788989f2fc0585653b1e4553470c,2414f8d702215fd09bf7d2ea70f9bc2df3d1d9e815ed562080f9b972c49cc197
5,Full,100,42949672960000,0,0,ed66313a34775e29df0787041bd199f0b26baeac6d22c31f0bcbaaed392c6d3f,a400d436efc9c66c311369de09cd9b2f3a6fef22744d9605a4e7abdabc27d5e6,9068a4d078c8a6cfab32111abf58a8179152788989f2fc0585653b1e4553470c,2414f8d702215fd09bf7d2ea70f9bc2df3d1d9e815ed562080f9b972c49cc197
6,Full,100,42949672960000,0,0,ed66313a34775e29df0787041bd199f0b26baeac6d22c31f0bcbaaed392c6d3f,a400d436efc9c66c311369de09cd9b2f3a6fef22744d9605a4e7abdabc27d5e6,9068a4d078c8a6cfab32111abf58a8179152788989f2fc0585653b1e4553470c,2414f8d702215fd09bf7d2ea70f9bc2df3d1d9e815ed562080f9b972c49cc197
7,Full,100,42949672960000,0,0,ed66313a34775e29df0787041bd199f0b26baeac6d22c31f0bcbaaed392c6d3f,a400d436efc9c66c311369de09cd9b2f3a6fef22744d9605a4e7abdabc27d5e6,9068a4d078c8a6cfab32111abf58a8179152788989f2fc0585653b1e4553470c,2414f8d702215fd09bf7d2ea70f9bc2df3d1d9e815ed562080f9b972c49cc197
8,Full,100,42949672960000,0,0,ed66313a34775e29df0787041bd199f0b26baeac6d22c31f0bcbaaed392c6d3f,a400d436efc9c66c311369de09cd9b2f3a6fef22744d9605a4e7abdabc27d5e6,9068a4d078c8a6cfab32111abf58a8179152788989f2fc0585653b1e4553470c,2414f8d702215fd09bf7d2ea70f9bc2df3d1d9e815ed562080f9b972c49cc197
9,Full,100,42949672960000,0,0,ed66313a34775e29df0787041bd199f0b26baeac6d22c31f0bcbaaed392c6d3f,a400d436efc9c66c311369de09cd9b2f3a6fef22744d9605a4e7abdabc27d5e6,9068a4d078c8a6cfab32111abf58a8179152788989f2fc0585653b1e4553470c,2414f8d702215fd09bf7d2ea70f9bc2df3d1d9e815ed562080f9b972c49cc197
